Name,Message,ID,Multiplexing/Group,Startbit,Transmitter,Length [Bit],Byte Order,Value Type,Initial Value,Factor,Offset,Minimum,Maximum,Unit,Value Table,Comment,Message ID,GenSigSendType,GenSigInactiveValue
Acc_Angle,SteeringWheelSensor,0x234,-,0,Steering_Wheel_Sensor,16,Intel,Signed,0,0.1,0,0,0,Degrees,<none>,,0x234,Cyclic,0
Acc_Roll,AccelerometerX,0x178,-,0,Accelerometer,16,Intel,Unsigned,0,0.005,0,0,0,,<none>,,0x178,Cyclic,0
Acc_XAxis,AccelerometerX,0x178,-,32,Accelerometer,16,Intel,Unsigned,0,0.0001274,0,0,0,,<none>,,0x178,Cyclic,0
Acc_Yaw,AccelerometerY,0x174,-,0,Accelerometer,16,Intel,Unsigned,0,0.005,0,0,0,,<none>,,0x174,Cyclic,0
Acc_YAxis,AccelerometerY,0x174,-,32,Accelerometer,16,Intel,Unsigned,0,0.0001274,0,0,0,,<none>,,0x174,Cyclic,0
Acc_ZAxis,AccelerometerZ,0x17C,-,32,Accelerometer,16,Intel,Unsigned,0,0.0001274,0,0,0,,<none>,,0x17C,Cyclic,0
Acu_Fan,BMS_Feedback_1,0x100,-,48,BMS,8,Intel,Unsigned,0,1,0,0,255,,<none>,,0x100,Cyclic,0
APPS_BP_Implausibility,VCU_Diagnostics,0x700,-,17,VCU,1,Intel,Unsigned,0,1,0,0,1,,<none>,,0x700,Cyclic,0
APPS_Implausibility,VCU_Diagnostics,0x700,-,16,VCU,1,Intel,Unsigned,0,1,0,0,1,,<none>,,0x700,Cyclic,0
Avg_Cell_Voltage,BMS_Feedback_2,0x101,-,32,BMS,16,Intel,Unsigned,0,1,0,0,65535,V,<none>,,0x101,Cyclic,0
BMS_Fault,Shutdown_Data,0x705,-,3,ECU,1,Intel,Unsigned,0,1,0,0,1,,<none>,,0x705,Cyclic,0
Boost_on,VCU_Drive_Function,0x707,-,2,VCU,1,Intel,Signed,0,1,0,0,0,,<none>,,0x707,Cyclic,0
Brake_Bool,VCU_Vehicle_Functionality,0x704,-,26,VCU,1,Intel,Unsigned,0,1,0,0,1,,<none>,,0x704,Cyclic,0
Brake_Percentage,VCU_Pedal_Percentages,0x702,-,24,VCU,8,Intel,Unsigned,0,1,0,0,255,%,<none>,,0x702,Cyclic,0
Brake_Voltage,VCU_Pedal_Voltages,0x703,-,16,VCU,16,Intel,Unsigned,0,1,0,0,65535,mV,<none>,,0x703,Cyclic,0
BSPD_Fault,Shutdown_Data,0x705,-,5,ECU,1,Intel,Unsigned,0,1,0,0,1,,<none>,,0x705,Cyclic,0
BSPD_TSI_Fault,Shutdown_Data,0x705,-,6,ECU,1,Intel,Unsigned,0,1,0,0,1,,<none>,,0x705,Cyclic,0
Buzzer,VCU_HW_IO,0x701,-,5,VCU,1,Intel,Unsigned,0,1,0,0,1,,<none>,,0x701,Cyclic,0
Consle_Y,VCU_HW_IO,0x701,-,2,VCU,1,Intel,Signed,0,1,0,0,0,Bool,<none>,,0x701,Cyclic,0
Console_RTD,VCU_HW_IO,0x701,-,0,VCU,1,Intel,Unsigned,0,1,0,0,1,Bool,<none>,,0x701,Cyclic,0
Console_X,VCU_HW_IO,0x701,-,3,VCU,1,Intel,Unsigned,0,1,0,0,1,Bool,<none>,,0x701,Cyclic,0
Console_Z,VCU_HW_IO,0x701,-,1,VCU,1,Intel,Signed,0,1,0,0,0,,<none>,,0x701,Cyclic,0
Control_Word,VCU_Vehicle_Functionality,0x704,-,0,VCU,8,Intel,Unsigned,0,1,0,0,1,,<none>,,0x704,Cyclic,0
Coolant_Pump_Fan,VCU_HW_IO,0x701,-,7,VCU,1,Intel,Unsigned,0,1,0,0,1,,<none>,,0x701,Cyclic,0
CS_DirectCurrents,HC4_Debug_Demands,0x19137171,-,56,Motor_Control,8,Intel,Unsigned,0,1,0,0,0,,<none>,,0x19137171,Cyclic,0
DC_Link_Voltage_Target,HC3_Battery_Demands,0x19127171,-,32,VCU,16,Intel,Signed,0,0.0625,0,0,0,V,<none>,Min motor current calculated by VCM (regen),0x19127171,Cyclic,0
Debug_Id_act,HD1_Debug_Currents,0x1928FF71,-,0,Motor_Control,16,Intel,Signed,0,0.0625,0,0,0,A,<none>,,0x1928FF71,Cyclic,0
Debug_Id_direct_control,HC4_Debug_Demands,0x19137171,-,16,Motor_Control,16,Intel,Signed,0,0.0625,0,0,0,A,<none>,,0x19137171,Cyclic,0
Debug_Id_ref,HD1_Debug_Currents,0x1928FF71,-,32,Motor_Control,16,Intel,Signed,0,0.0625,0,0,0,A,<none>,,0x1928FF71,Cyclic,0
